city,lat,lng,country
Moscow,55.7522,37.6155,Russia
St. Petersburg,59.939,30.316,Russia
Kiev,50.4334,30.5166,Ukraine
Tashkent,41.3117,69.2949,Uzbekistan
Baku,40.3953,49.8622,Azerbaijan
Minsk,53.9,27.5666,Belarus
Kharkiv,50,36.25,Ukraine
Novosibirsk,55.03,82.96,Russia
Yekaterinburg,56.85,60.6,Russia
Nizhny Novgorod,56.333,44.0001,Russia
Almaty,43.325,76.915,Kazakhstan
Samara,53.195,50.1513,Russia
Omsk,54.99,73.4,Russia
Kazan,55.7499,49.1263,Russia
Yerevan,40.1812,44.5136,Armenia
Chelyabinsk,55.155,61.4387,Russia
Rostov,47.2346,39.7127,Russia
Dnipro,48.48,35,Ukraine
Ufa,54.79,56.04,Russia
Perm,58,56.25,Russia
Odessa,46.49,30.71,Ukraine
Donetsk,48,37.83,Ukraine
Volgograd,48.71,44.5,Russia
Krasnoyarsk,56.014,92.866,Russia
Voronezh,51.73,39.27,Russia
Saratov,51.58,46.03,Russia
Bishkek,42.8731,74.5852,Kyrgyzstan
Lvov,49.835,24.03,Ukraine
Zaporizhzhya,47.8573,35.1768,Ukraine
Fargona,40.39,71.78,Uzbekistan
Namangan,41,71.67,Uzbekistan
Samarqand,39.67,66.945,Uzbekistan
Tolyatti,53.4804,49.53,Russia
Kryvyy Rih,47.9283,33.345,Ukraine
Andijon,40.79,72.34,Uzbekistan
Krasnodar,45.02,39,Russia
Ulyanovsk,54.33,48.41,Russia
Izhevsk,56.85,53.23,Russia
Yaroslavl,57.62,39.87,Russia
Barnaul,53.355,83.745,Russia
Vladivostok,43.13,131.91,Russia
Irkutsk,52.32,104.245,Russia
Khabarovsk,48.455,135.12,Russia
Makhachkala,42.98,47.5,Russia
Orenburg,51.78,55.11,Russia
Novokuznetsk,53.75,87.115,Russia
Tomsk,56.495,84.975,Russia
Ryazan,54.62,39.72,Russia
Tyumen,57.14,65.53,Russia
Lipetsk,52.62,39.64,Russia
Penza,53.18,45,Russia
Mykolayiv,46.9677,31.9843,Ukraine
Astrakhan,46.3487,48.055,Russia
Shahrisabz,39.0618,66.8315,Uzbekistan
Tula,54.2,37.6299,Russia
Mariupol,47.0962,37.5562,Ukraine
